source,target,weight
berry,phyllo shell,2
berry,pickle,3
berry,miso,2
berry,radiatore,2
berry,chinese,1
berry,bagel,5
berry,clam,1
berry,mussel,1
berry,alfalfa,2
berry,essence,1
berry,teff,3
berry,treacle,1
berry,linguine,1
berry,boudoir biscuit,1
berry,feijoas,1
berry,snapper,1
berry,seitan,2
berry,pimento,1
berry,ghee,2
berry,quail,1
berry,mizuna,1
berry,harissa,1
berry,vinaigrette,1
berry,bocconcini,1
berry,capsicum,3
berry,mozzarella,2
berry,rabbit,1
berry,ricard,1
berry,satsuma,2
berry,erythritol,4
berry,parmigiano,1
berry,roast,1
berry,oelek,1
berry,mirepoix,1
berry,veal,1
berry,nori,2
berry,halibut,1
berry,queso,1
berry,banger,1
berry,flower,1
berry,funghi porcini,1
gur,lemon,2401
gur,sugar,3314
gur,cashew,111
gur,chicken,437
gur,chili,472
gur,cilantro,726
gur,clove,911
gur,corn,646
gur,egg,2409
gur,garlic,2162
gur,ghee,141
gur,gra,715
gur,mace,30
gur,milk,1919
gur,mint,903
gur,onion,3229
gur,raisin,517
gur,rice,398
gur,saffron,119
gur,salt,5171
gur,seed,880
gur,tomato,1262
gur,bay,224
gur,cardamom,215
gur,cinnamon,1061
gur,cumin,1165
gur,ginger,921
gur,green,466
gur,pepper,1897
gur,piece,61
gur,rum,84
gur,turmeric,317
gur,carrot,640
gur,flour,2160
gur,honey,1189
gur,oil,2267
gur,powder,2341
gur,soda,1372
gur,wheat,700
gur,sauce,749
gur,breast,589
gur,butter,1908
gur,flake,202
gur,ngo,337
gur,cream,1424
gur,paprika,508
gur,parsley,884
gur,paste,422
gur,wine,362
gur,cucumber,877
gur,dill,670
gur,broth,397
gur,currant,67
gur,nut,1524
gur,basil,322
gur,apple,889
gur,mushroom,219
gur,thyme,224
gur,water,1665
gur,baby,43
gur,lamb,313
gur,rosemary,88
gur,mayonnaise,843
gur,oregano,353
gur,cheese,1296
gur,tuna,80
gur,curry,625
gur,red,368
gur,scallion,283
gur,coriander,257
gur,leaf,319
gur,masala,480
gur,pumpkin,128
gur,shortening,39
gur,spice,259
gur,pea,519
gur,vanilla,677
gur,mix,141
gur,margarine,310
gur,beef,236
gur,cayenne,159
gur,lentil,157
gur,spinach,258
gur,sherry,24
gur,puree,90
gur,banana,1152
gur,navel,21
gur,pasta,155
gur,lime,626
gur,salsa,109
gur,' n,3
gur,mustard,523
gur,ground,2080
gur,chile,82
gur,stem,17
gur,orange,337
gur,extract,818
gur,syrup,184
gur,bean,407
gur,cabbage,81
gur,caul,79
gur,potato,525
gur,rhubarb,33
gur,cider,105
gur,celery,551
gur,half,169
gur,pecan,227
gur,chive,273
gur,zucchini,228
gur,lettuce,299
gur,oat,455
gur,apricot,31
gur,cherry,136
gur,date,85
gur,fig,28
gur,marmalade,4
gur,prune,18
gur,tapioca,4
gur,pimiento,19
gur,marshmallow,49
gur,crouton,15
gur,herb,63
gur,jicama,16
gur,melon,48
gur,gelatin,150
gur,sorrel,6
gur,vinegar,187
gur,leek,62
gur,eel,89
gur,catsup,8
gur,sweetener,77
gur,chard,12
gur,leave,149
gur,nectarine,31
gur,molasse,86
gur,shrimp,103
gur,meat,13
gur,way,54
gur,head,30
gur,farm,8
gur,crab,13
gur,avocado,201
gur,cantaloupe,83
gur,fillet,121
gur,white,234
gur,broccoli,64
gur,tarragon,101
gur,floret,70
gur,fennel,33
gur,couscous,54
gur,squash,10
gur,salmon,80
gur,kirsch,4
gur,juice,103
gur,papaya,63
gur,radish,100
gur,pastry,26
gur,jeera,4
gur,beet,55
gur,tofu,89
gur,ahi,102
gur,olive,168
gur,ham,168
gur,caper,65
gur,sprout,24
gur,top,28
gur,baguette,11
gur,marjoram,45
gur,sumaq,10
gur,chervil,10
gur,savory,8
gur,noodle,5
gur,berbere,3
gur,courgette,5
gur,okra,8
gur,capsicum,18
gur,parsnip,28
gur,wonton,9
gur,yeast,120
gur,sirloin tip,1
gur,pork,37
gur,hash brown,3
gur,sage,59
gur,kiwi,105
gur,muffin,9
gur,sec,16
gur,hing,10
gur,karela,1
gur,tamari,15
gur,cake,65
gur,kahlua,8
gur,cut,13
gur,pudding,24
gur,tea,36
gur,espresso,5
gur,asparagus,44
gur,tortilla,41
gur,dough,14
gur,brandy,19
gur,turkey,18
gur,matzo meal,3
gur,trout,1
gur,turnip,7
gur,whip,120
gur,plum,95
gur,mozzarella,1
gur,bacon,107
gur,barley,26
gur,liver,4
gur,channa dal,7
gur,semolina,21
gur,seasoning,15
gur,pimento,11
gur,linguine,8
gur,ricotta,3
gur,habanero,1
gur,pista,72
gur,bagel,2
gur,sultana,34
gur,mandarin,50
gur,cod,12
gur,heart,37
gur,arugula,16
gur,ajwain,11
gur,endive,11
gur,fettuccine,13
gur,shallot,122
gur,macaroni,38
gur,panir,10
gur,coffee,62
gur,chutney,27
gur,fructose,5
gur,fruit,28
gur,wasabi,6
gur,sake,3
gur,style,25
gur,prosciutto,7
gur,pickle,17
gur,pluot,1
gur,kasuri methi,7
gur,urad dal,6
gur,spaghetti,11
gur,smoke,7
gur,sauerkraut,3
gur,almond,7
gur,chocolate,124
gur,gum,17
gur,starch,13
gur,agar,3
gur,gourd,2
gur,ale,30
gur,clementine,9
gur,marnier,7
